Headline,Date,Author,Vertical,Description
A mysterious undertaking signed by Davinder Singh,"Jan 19, 2020",Reporter,DELHI,"New Delhi, Jan 19: More details are tumbling out as the investigation against Davinder Singh, DSP from Jammu and Kashmir…"
"Not only about rights, but duties as well: CJI Bobde on citizenship law","Jan 19, 2020",Reporter,FEATUREDNATIONAL,"New Delhi, Jan 19: Chief Justice of India Sharad Bobde said that citizenship was not only about people's rights, but also about…"
Sachin Tendulkar gifts cricket kit to specially-abled boy from Bastar,"Jan 19, 2020",Reporter,SPORTS,NEW DELHI: Cricket legend Sachin Tendulkar has gifted a cricket kit to a specially-abled boy from Bastar district. Tendulkar had…
Jonty Rhodes rues decay of domestic structure in South Africa,"Jan 19, 2020",Reporter,SPORTS,"BENGALURU:  South African cricket is going through a bad patch. Top players have retired, promising players have left the country…"
Arteta’s Arsenal held again by late Sheffield United leveller,"Jan 19, 2020",Reporter,SPORTS,LONDON: Arsenal's faint hopes of a top-four finish in the Premier League suffered another blow as John Fleck's late equaliser…
Russian President Vladimir Putin says he opposes unlimited presidential term,"Jan 19, 2020",Reporter,UNCATEGORIZED,MOSCOW: Russian President Vladimir Putin said Saturday that he opposes the idea of an unlimited term in office for the country's…
"Prince Harry, Meghan to give up ‘royal highness’ titles","Jan 19, 2020",Reporter,WORLD,"LONDON: Goodbye, your royal highnesses. Hello, life as — almost — ordinary civilians. Prince Harry and his wife, Meghan, are…"
Underwater test of K-4 ballistic missile from INS Arihant off Vizag coast likely Sunday,"Jan 19, 2020",Reporter,NATIONAL,"BHUBANESWAR: With India turning its focus on anti-ballistic and nuclear-tipped underwater weapon systems, Defence Research and…"
Pakistan has shown weakness on Kashmir issue: Pak Minister Sheikh Rashid,"Jan 19, 2020",Reporter,FEATUREDWORLD,LAHORE: A top Pakistani minister and a close aide of Prime Minister Imran Khan said on Saturday that Islamabad had shown…
A wound that 30 years couldn’t heal: Life of Kashmiri Pandits in Valley,"Jan 19, 2020",Reporter,NATIONAL,"SRINAGAR: Life in the last 30 years in Kashmir has not been “easy” for 52-year-old Sanjay Tickoo. “It was full of struggles, which…"
Industry cheers but BJP jeers at Uddhav government’s nightlife move for Mumbai,"Jan 19, 2020",Reporter,FEATUREDOTHER STATES,"MUMBAI: Mumbai’s hospitality industry is upbeat about the Maharashtra government’s decision to allow shops, malls and eateries in…"
Tears of the uprooted: Kashmiri Pandits recall horror on ‘exodus day’,"Jan 19, 2020",Reporter,NATIONAL,"NEW DELHI: Time is the best healer, they say. Not for Shadi Lal, 58, an ayurvedic practitioner in Jammu. Lal was among the first…"
"Persecuted or not, immigrants with 3 documents will get Indian citizenship: Assam Minister","Jan 18, 2020",Reporter,FEATUREDNATIONAL,GUWAHATI: The basis for citizenship to illegal immigrants under the Citizenship (Amendment) Act (CAA) is religious persecution.…
Kashmiri Pandits will return to their homeland: Shivraj Singh Chouhan on ‘Exodus Day’,"Jan 18, 2020",Reporter,NATIONAL,"BHOPAL: On the 30th anniversary of the mass exodus of Kashmiri Pandits from the Kashmir Valley, BJP leader Shivraj Singh Chouhan…"
"Following Davinder Singh’s arrest, Shiv Sena questions police’s role in Kashmir","Jan 18, 2020",Reporter,OTHER STATES,"MUMBAI: Days after the arrest of Deputy SP Davinder Singh along with two Hizbul Mujahideen terrorists, Shiv Sena on Saturday…"
"Intellectuals opposing Citizenship Act are ‘devils’, ‘parasites’, says Dilip…","Jan 18, 2020",Reporter,FEATUREDNATIONAL,"HOWRAH: Known for his foot-in-mouth remarks, West Bengal BJP president Dilip Ghosh has described the ""intellectuals"" opposing the…"
China reports four more cases in viral pneumonia outbreak,"Jan 18, 2020",Reporter,WORLD,BEIJING: Four more cases have been identified in a viral pneumonia outbreak in a central Chinese city that has killed two people…
Donald Trump warns Iran’s supreme leader Khamenei to be ‘careful with his words’,"Jan 18, 2020",Reporter,WORLD,"WASHINGTON: President Donald Trump on Friday warned Iran's supreme leader, Ayatollah Ali Khamenei, to be ""very careful with his…"
"Autopsy fails to find cause of Indian-American woman’s death, who was found in boot of her car","Jan 18, 2020",Reporter,WORLD,CHICAGO: An autopsy has failed to determine the cause of death of a missing Indian-American woman whose body was later found in…
"TCS records modest 0.2 per cent profit growth at Rs 8,143 crore for third quarter this fiscal","Jan 18, 2020",Reporter,BUSINESS,"BENGALURU : India’s largest IT services company, Tata Consultancy Services (TCS), on Friday reported a modest 0.2 per cent growth…"
Reliance Industries net profit gains by 13.5 per cent as oil business sees turnaround,"Jan 18, 2020",Reporter,BUSINESS,MUMBAI: Mukesh Ambani-led Reliance Industries (RIL) on Friday posted a robust 13.5 per cent increase in net profit for the third…
China’s Great Wall Motors to acquire GM’s India plant,"Jan 18, 2020",Reporter,BUSINESS,"NEW DELHI:  China’s biggest SUV player Great Wall Motors, who is all set to make an entry in the Indian automobile market, has…"
J P Nadda set to be elected unopposed as BJP president,"Jan 18, 2020",Reporter,NATIONAL,"New Delhi, Jan 18: The announcement of a new BJP president, will be made on January 20. J P Nadda is likely to be elected…"
Maharashtra government to make Marathi compulsory in all schools,"Jan 18, 2020",Reporter,FEATUREDOTHER STATES,"MUMBAI: The Maharashtra government is set to bring in a legislation for making Marathi compulsory in all schools, irrespective of…"
Delhi police commissioner granted detaining power under NSA,"Jan 18, 2020",Reporter,DELHIFEATURED,"New Delhi, Jan 18: Lieutenant Governor Anil Baijal has granted power of detaining authority to the Delhi Police Commissioner under…"
TVS Apache RR310 BS6 Is Expected To Launch On 25th Of January,"Jan 18, 2020",Reporter,AUTOMOTIVE,"The TVS Apache RR310 launched in India back in 2017 and became a hit for the Indian two-wheeler manufacturer. Now, according to …"
Dakar 2020 Stage 12 Highlights: Ricky Brabec Wins The Rally,"Jan 18, 2020",Reporter,AUTOMOTIVE,"On the Twelfth and the final stage of the 2020 Dakar rally, José Ignacio Cornejo (Monster Energy Honda) took the victory. Ricky…"
Natural Remedies For Treating Ear Pimples,"Jan 18, 2020",Reporter,LIFESTYLE,"Pimples are the unsightly annoying bumps that many people fear of having because they cause pain, irritation and often leave a…"
Thomson Gets Google License To Run Its Own TV Software,"Jan 18, 2020",Reporter,TECHNOLOGY,Thomson TV has announced that it will develop an Android-based software for its smart TVs in India. The company has also received…
"Blaupunkt Launches BTW Pro Truly Wireless Earbuds For Rs. 6,999 In India","Jan 18, 2020",Reporter,TECHNOLOGY,Blaupunkt launched its all-new truly wireless earphones BTW Pro in the Indian market. The truly wireless earbuds come with a price…
Ala Vaikunthapuramloo Day 6 Box Office Report,"Jan 18, 2020",Reporter,ENTERTAINMENT,"Ala Vaikunthapuramloo directed by Trivikram, starring Allu Arjun and Pooja Hegde in the lead, has had an incredible run at not…"
Sarileru Neekevvaru Day 7 Box Office Collections,"Jan 18, 2020",Reporter,ENTERTAINMENT,Sarileru Neekevvaru has become the first Telugu film of this year to cross the 100 crore mark in its worldwide box office. The…
Bapu Nadkarni demise: Sunil Gavaskar condoles his death of former India all-rounder; remembers him…,"Jan 18, 2020",Reporter,SPORTS,"Rajkot, Jan 18: Legends Sunil Gavaskar and Sachin Tendulkar on Friday (January 17) offered their condolences on former India…"
Fowler shares lead as Finau fires 62 in California,"Jan 18, 2020",Reporter,SPORTS,"California, January 18: Rickie Fowler moved into a share of the lead at The American Express after shooting an eight-under 64 in…"
SDPI activists’ real target was MP Tejasvi Surya,"Jan 18, 2020",Reporter,OTHER STATES,"BENGALURU: Police investigation and interrogation of the six accused, said to be activists of the Social Democratic Party of India…"
Rohith Vemula’s mother to launch ‘Mothers for nation’ yatra,"Jan 18, 2020",Reporter,NATIONAL,"HYDERABAD: On the fourth death anniversary of Hyderabad Central University research scholar Rohith Vemula, who committed suicide…"
"Malls, pubs to be open 24/7 in some Mumbai areas from January 26","Jan 18, 2020",Reporter,OTHER STATES,"MUMBAI: Maharashtra Tourism Minister Aaditya Thackeray on Friday said shops, restaurants, malls and pubs will remain open 24 hours…"
"Ben Stokes, Ollie Pope hundreds and late wickets put England on top","Jan 18, 2020",Reporter,SPORTS,PORT ELIZABETH: South Africa face a huge battle for survival after England dominated the second day of the third Test at St…
"Ashok Gehlot government gives land to Pakistan migrants, sparks a row","Jan 18, 2020",Reporter,FEATUREDNATIONAL,"JAIPUR: Barely a few weeks after taking out a Peace March in Jaipur against the Citizenship Amendment Act (CAA), the Gehlot…"
Shirdi temple to be closed from Sunday after Uddhav Thackeray’s remarks on Sai Baba’s…,"Jan 18, 2020",Reporter,NATIONAL,SHIRDI: A call has been given for indefinite closure of Shirdi after Maharashtra Chief Minister Uddhav Thackeray's reported…
BJP gears up for first ‘rightist Budget’; several sops likely,"Jan 18, 2020",Reporter,BUSINESS,"NEW DELHI: The Narendra Modi government appears all set to take the economic slowdown head-on, as the BJP is abuzz with…"
"Government clears the air, says NPR response is voluntary","Jan 18, 2020",Reporter,DELHI,"NEW DELHI: Answering certain questions in the National Population Register (NPR), like information on  your “parents’ place of…"
Samajwadi Party leader feared dead after ‘killing’ his wife in Uttar Pradesh,"Jan 17, 2020",Reporter,CRIME,CHITRAKOOT: A Samajwadi Party leader is presumed drowned while trying to dispose of the body of his wife Namita in Barua dam in…
President rejects mercy plea of Nirbhaya convict Mukesh Singh,"Jan 17, 2020",Reporter,DELHI,"NEW DELHI: President Ram Nath Kovind on Friday rejected the mercy plea of Mukesh Singh, one of the four men convicted in the 2012…"
Head priest of Balaji temple in UP’s Chitrakoot shot dead,"Jan 17, 2020",Reporter,CRIME,"CHITRAKOOT: The head priest of the famous Balaji temple in Chitrakoot was shot dead, late on Thursday night, by unidentified…"
Asaduddin Owaisi hits out at CDS Bipin Rawat on ‘de-radicalisation’ comments,"Jan 17, 2020",Reporter,FEATUREDNATIONAL,HYDERABAD: Hitting out at the Chief of Defence Staff Gen Bipin Rawat who said de-radicalisation camps are operating in the…
"India to cut duty on over 40 US products including high-end mobiles, smartwatches","Jan 17, 2020",Reporter,BUSINESS,NEW DELHI: India and the US have thrashed out the contours of a trade pact to be signed during the proposed visit of US President…
‘More than nine lakh people speak Hindi in US’ says Indian diplomat,"Jan 17, 2020",Reporter,WORLD,"WASHINGTON: More than nine lakh people speak Hindi in the US, a top Indian diplomat has said, as the Indian Embassy here conducts…"
"AGR issue: Survival of internet firms under threat, duopoly not good for market, says ISPAI","Jan 17, 2020",Reporter,BUSINESS,NEW DELHI: Internet service providers on Thursday exhorted the government to step in immediately to review the definition of…
Jet Airways to sell Netherlands business to KLM Royal Dutch Airlines,"Jan 17, 2020",Reporter,BUSINESS,"NEW DELHI: Bankrupt Jet Airways plans to sell its Netherlands business to KLM Royal Dutch Airlines, according to a regulatory…"
Lamborghini Huracan EVO RWD India Launch Date Confirmed For 29th Of January,"Jan 17, 2020",Reporter,AUTOMOTIVE,Lamborghini has just announced that they are all set to showcase the Huracan Evo Rear-Wheel-Drive (RWD) supercar in India on the…
"Bitter Melon Can Help Treat Cancer, As Per New Study","Jan 17, 2020",Reporter,LIFESTYLE,"Bitter melon, also known as bitter gourd or 'karela' in hindi is among the most common and healthy vegetables cooked in almost…"
BD Soft Launches Akita IoT Security Device For Smart Homes In India,"Jan 17, 2020",Reporter,TECHNOLOGY,BD Soft has launched its latest cyber IoT device - Akita for Indian markets. It is a smart home IoT security device which is…
Samsung’s Affordable Galaxy Tablet Appears On Geekbench: Key Specifications Tipped,"Jan 17, 2020",Reporter,TECHNOLOGY,Samsung might have another tablet under development besides the Galaxy Tab S6 5G. The company is likely working on an affordable…
"After book comparing Shivaji and PM Modi, now row over Maratha king’s guru in Maharashtra","Jan 17, 2020",Reporter,OTHER STATES,"MUMBAI: NCP chief Sharad Pawar gave a new twist to the ongoing controversy over Chhatrapati Shivaji on Thursday, saying not Ramdas…"
India-Pakistan ties had impacted Afghanistan tremendously,"Jan 17, 2020",Reporter,DELHI,"NEW DELHI: Arguing that strained India-Pakistan ties had impacted Afghanistan tremendously, former Afghan president Hamid Karzai…"
Five SFI students allegedly attacked by ABVP activists at Bengal’s Visva Bharati University,"Jan 17, 2020",Reporter,OTHER STATES,KOLKATA: Five SFI supporters were allegedly beaten up with cricket stumps and wooden planks by ABVP activists at Visva Bharati…
Violence during Bharat Bandh: CID probe finds Bengal cops guilty of torching vehicles,"Jan 17, 2020",Reporter,OTHER STATES,KOLKATA: Three constables have been put on suspension after they were seen in a video footage setting a few vehicles on fire in…
"No ID card checking, cheap price tags: Acid sales continue unabated despite SC order","Jan 17, 2020",Reporter,NATIONAL,"HYDERABAD: The Supreme Court passed an order prohibiting the over-the-counter sale of acid, and regulation of its sale across the…"
"Allow right to peaceful protests in Varanasi: Amnesty urges Modi, Yogi","Jan 17, 2020",Reporter,FEATUREDNATIONAL,NEW DELHI: Amnesty International on Thursday urged Prime Minister Narendra Modi and Uttar Pradesh Chief Minister Yogi Adityanath…
Major differences among UN members over India’s permanent membership in UNSC: China,"Jan 17, 2020",Reporter,FEATUREDWORLD,BEIJING: China on Thursday played down Russia's backing for India and Brazil's entry into the UN Security Council as a permanent…
"CBI books Adani Enterprises, 2 ex-NCCF officials for alleged irregularities in coal supply contract","Jan 17, 2020",Reporter,BUSINESS,NEW DELHI: The CBI has registered a case of cheating and corruption against Adani Enterprises and a former chairman and an…
"Sarileru Neekevvaru Box Office Report: Film Is Just About To Break-Even, Fantastic Collections","Jan 17, 2020",Reporter,ENTERTAINMENT,"Anil Ravipudi's directorial, Sarileru Neekevvaru is just about to hit the 100 crore mark. The film has done phenomenal business…"
Ramesh Aravind Starrer Shivaji Surathkal All Set To Hit The Silver Screens On February 21,"Jan 17, 2020",Reporter,ENTERTAINMENT,Ramesh Aravind will soon be returning to the big screen after a hiatus of almost two years. The actor’s next titled Shivaji…
Reece James pens long-term Chelsea extension,"Jan 17, 2020",Reporter,SPORTS,"London, January 17: Reece James has signed a new contract at Chelsea to remain at Stamford Bridge until 2025, the Premier League…"
Boca frustrated by schedule clash between Superliga season and Olympic qualifying,"Jan 17, 2020",Reporter,SPORTS,"Buenos Aires, January 17: Boca Juniors have failed in a bid to delay the resumption of the Superliga season, after claiming a…"
"Fowler makes strong start as Blair, Murray lead in California","Jan 17, 2020",Reporter,SPORTS,"California, January 17: Rickie Fowler made a bright start to The American Express, sitting a stroke behind leaders Zac Blair and…"
Coast Guard to acquire 16 advanced light helicopters,"Jan 17, 2020",Reporter,OTHER STATES,CHENNAI: Indian Coast Guard aims to expand its aircraft inventory by acquiring 16 advanced light helicopters and 50 vessels.This…
Fortune cookie augurs well for juvenile offenders,"Jan 17, 2020",Reporter,OTHER STATES,"CHENNAI: Believed to be the first of its kind initiative in the country, a bakery here has provided self-employment opportunities…"
"Chief justice, senators sworn in for Donald Trump impeachment","Jan 17, 2020",Reporter,FEATUREDWORLD,"WASHINGTON: Chief Justice John Roberts was sworn in Thursday to preside over President Donald Trump’s impeachment trial, then…"
Army conducts biggest airborne exercise of Special Forces in North Eastern Theatre,"Jan 17, 2020",Reporter,DELHI,NEW DELHI: The Indian Army recently carried out its biggest Airborne Exercise in the North Eastern Theatre which involved large…
"World Bank, Centre sign USD 88 million loan agreement for Assam inland water transport project","Jan 17, 2020",Reporter,FEATUREDNATIONAL,"NEW DELHI: The central government, Assam government and the World Bank signed a loan agreement of USD 88 million here on Thursday…"
Fodder scam case: Lalu Prasad Yadav appears before CBI court in Ranchi,"Jan 16, 2020",Reporter,NATIONAL,RANCHI: Rashtriya Janata Dal (RJD) chief Lalu Prasad Yadav on Thursday appeared before a special CBI court here to record his…
"‘Always stood up for her’, clarifies Sanjay Raut after Indira Gandhi met don comment…","Jan 16, 2020",Reporter,FEATUREDOTHER STATES,MUMBAI: Shiv Sena leader Sanjay Raut on Thursday said that he has always stood up for former prime minister Indira Gandhi whenever…
PMC scam: SC stays HC order allowing shifting of HDIL promoters from jail to their residence,"Jan 16, 2020",Reporter,NATIONAL,NEW DELHI: The Supreme Court on Thursday partially stayed the Bombay High Court order allowing shifting of HDIL promoters Rakesh…
‘Countries supporting terrorism should be taken to task’: CDS Rawat hits out at Pakistan,"Jan 16, 2020",Reporter,DELHIFEATURED,NEW DELHI: Chief of Defence Staff Gen Bipin Rawat on Thursday pitched for strong global action against states sponsoring…
Dakar 2020 Stage 10 Highlights: Rally Special Gets Neutralized Due To Weather,"Jan 16, 2020",Reporter,AUTOMOTIVE,"On Stage 10 of the Dakar rally, Joan Barreda (Monster Energy Honda) takes victory as the stage gets neutralized. The Spaniard has…"
Realme 5i OTA Update Rolls Out,"Jan 16, 2020",Reporter,TECHNOLOGY,"Realme is one of the smartphone brands that operate with a commitment to roll out timely updates to its offerings. Already, the…"
Canon EOS M6 Mark II Review: Canon’s Best Compact Camera For Hi-Resolution Still Photography,"Jan 16, 2020",Reporter,TECHNOLOGY,"Canon is constantly adding new cameras to the company's portfolio, specifically in the mirrorless range. The company recently…"
Are Mushrooms Good For Diabetes?,"Jan 16, 2020",Reporter,LIFESTYLE,"A diabetic has to take essential care of their diet as a little fluctuation in their glucose levels can be life-threatening. Also,…"
Sonam Kapoor Warns People After Having Her ‘Scariest’ Experience With Uber Driver In…,"Jan 16, 2020",Reporter,ENTERTAINMENT,"Sonam Kapoor is quite active on social media. The actress who regularly shuttles between Mumbai and London, recently tweeted about…"
Sarileru Neekevvaru Is A Sankranthi Miracle; It’s One Of The Biggest HITS Of My Career: Mahesh Babu,"Jan 16, 2020",Reporter,ENTERTAINMENT,"Mahesh Babu and Rashmika Mandanna starrer Sarileru Neekevvaru, which released on January 11, 2020, has been receiving thunderous…"
Terrorists using encrypted mobile communications to reactivate cadre in Kashmir: Government,"Jan 16, 2020",Reporter,FEATUREDNATIONAL,JAMMU: Terror outfits are using encrypted mobile communications and Voice on Internet Protocol (VoIP) to plan infiltrations into…
"Dilip Ghosh stands by ‘shot like dogs’ comment, says it was for the country","Jan 16, 2020",Reporter,OTHER STATES,"KOLKATA: West Bengal BJP president Dilip Ghosh, who is facing flak from various quarters, even his own partymen, for saying that…"
21 held for vandalising railway property during anti-CAA stir will pay for damages: RPF,"Jan 16, 2020",Reporter,DELHI,NEW DELHI: The Indian Railways has identified 21 miscreants who have been arrested so far for being involved in vandalism and…
MP school principal suspended over distribution of notebooks with Savarkar’s image,"Jan 16, 2020",Reporter,NATIONAL,BHOPAL/RATLAM: The Congress government in Madhya Pradesh has suspended the principal of a government-run school at Malwasa in…
"Gruesome murder in UP: Man arrested for murdering wife, chopping and burning corpse","Jan 16, 2020",Reporter,CRIME,RAE BARELI: A man in Uttar Pradesh has been arrested for one of the most gruesome murders in recent times where he strangulated…
"Roger Federer and Rafael Nadal are selfish, says Canadian tennis player Brayden Schnur","Jan 16, 2020",Reporter,SPORTS,"MELBOURNE: Canadian tennis player Brayden Schnur on Wednesday termed all-time greats Roger Federer and Rafael Nadal as ""selfish""…"
Kane Williamson returns to New Zealand T20I fold for India series,"Jan 16, 2020",Reporter,SPORTS,WELLINGTON: New Zealand have announced their 14-member squad for the upcoming five-match T20I series against India in which they…
FC Juarez midfielder Gabriel Hachen receives one year ban,"Jan 16, 2020",Reporter,SPORTS,MEXICO CITY: Argentinian midfielder Gabriel Hachen has been given a one-year ban for assaulting a referee while playing for FC…
Sensex crosses 42000-mark for first time ever; Nifty hits record high at 12377,"Jan 16, 2020",Reporter,BUSINESS,"MUMBAI: Market benchmark Sensex on Thursday scaled the 42,000 mark for the first time ever and Nifty hit its record peak in…"
25 injured after eight coaches of Lokmanya Tilak Express derail near Cuttack,"Jan 16, 2020",Reporter,FEATUREDNATIONAL,BHUBANESWAR: Eight coaches of Mumbai- Bhubaneswar Lokmanya Tilak Express derailed near Cuttack in Odisha on Thursday morning after…
"Exports fall 1.8 per cent in December, trend to continue","Jan 16, 2020",Reporter,BUSINESS,"NEW DELHI: India’s exports contracted for the fifth month in a row, registering a fall by 1.8 per cent to $27.36 billion in…"
Fiscal deficit to be higher than anticipated: Former Finance secy Subhash Chandra Garg,"Jan 16, 2020",Reporter,DELHI,"NEW DELHI: Two weeks ahead of the presentation of Union Budget FY2020-21, former finance secretary Subhash Chandra Garg warned…"
US House votes to send Donald Trump impeachment articles to Senate,"Jan 16, 2020",Reporter,WORLD,"WASHINGTON: The US House voted Wednesday to send articles of impeachment against Donald Trump to the Senate, a key step in…"
Centre drafts rules for coal mine auctions,"Jan 16, 2020",Reporter,BUSINESS,"NEW DELHI: The Central government on Wednesday came out with draft rules for coal mine auctions, which clarify that there would be…"
‘It’s India’s bilateral matter’: UNSC rejects Pakistan’s plea to take…,"Jan 16, 2020",Reporter,WORLD,UNITED NATIONS: India on Wednesday slammed Pakistan for again trying to raise the Kashmir issue in the UN Security Council where…
"Jharkhand ‘local policy’ to be changed, 1932 to be cut-off year: Shibu Soren","Jan 16, 2020",Reporter,NATIONAL,DUMKA: JMM president Shibu Soren said on Wednesday that the previous Raghubar Das-led government's 'Sthaniya Niti' of making 1985…
West Bengal not to take part in NPR meeting on January 17: Mamata Banerjee,"Jan 16, 2020",Reporter,OTHER STATES,KOLKATA: West Bengal Chief Minister Mamata Banerjee on Wednesday said her state will not take part in the meeting convened by the…
Parliament’s Budget session to begin from January 31,"Jan 16, 2020",Reporter,DELHI,"NEW DELHI: The Budget session of Parliament, the third of seventeenth Lok Sabha, will commence on January 31 and subject to the…"
Jammu and Kashmir strips DSP Davinder Singh of Sher-e-Kashmir medal,"Jan 16, 2020",Reporter,NATIONAL,SRINAGAR: The Jammu and Kashmir government on Wednesday stripped DSP Davinder Singh of the Sher-e-Kashmir Police Medal following…
US signs first phase of trade deal with China; Trump calls it ‘unbelievable’,"Jan 16, 2020",Reporter,FEATUREDWORLD,"WASHINGTON: After nearly two years of conflict between the world's two dominant economic powers, the United States and China…"
Australian wildfire smoke stokes health fears in cities,"Jan 15, 2020",Reporter,WORLD,CANBERRA: Fire alarms have been sounding in high-rise buildings across downtown Sydney and Melbourne as dense smoke from distant…
"Day after Kerala approaching SC against CAA, Chhattisgarh moves apex court against NIA Act","Jan 15, 2020",Reporter,FEATUREDNATIONAL,NEW DELHI: The Congress-led Chhattisgarh government became the first state to challenge the National Investigation Act 2008 (NIA…
Delta jet dumps fuel on California school playground,"Jan 15, 2020",Reporter,WORLD,"LOS ANGELES: A Delta airliner experiencing mechanical trouble dumped jet fuel onto a school playground in the Los Angeles area,…"
"Amid economic slowdown, rising inflation knocks down hopes of RBI rate cut in February","Jan 15, 2020",Reporter,BUSINESS,"HYDERABAD: Rising inflation has knocked down hopes of a policy rate cut next month. Last December, the RBI chose to give rate…"
Rupee falls 14 paise to 71 against US dollar in early trade,"Jan 15, 2020",Reporter,BUSINESS,MUMBAI: The Indian rupee opened on a cautious note and fell 14 paise to 71.01 against the US dollar in early trade on Wednesday as…
Amazon to invest USD 1 billion in digitising Indian SMBs: Jeff Bezos,"Jan 15, 2020",Reporter,BUSINESS,"NEW DELHI: Amazon chief Jeff Bezos on Wednesday said the e-commerce major will invest USD 1 billion (over Rs 7,000 crore) in…"
David Warner surprised by Jasprit Bumrah’s yorkers and bouncers,"Jan 15, 2020",Reporter,SPORTS,"Mumbai, January 15: Australian opener David Warner was surprised by the yorkers and bouncers of India's pace-spearhead Jasprit…"
UFC 246: McGregor vs. Cowboy – How and When To Watch,"Jan 15, 2020",Reporter,SPORTS,"Bengaluru, January 15: The Ultimate Fighting Championship opens 2020 with UFC 246 this weekend with a thrilling welterweight…"
Jeep Compass BS6 Diesel Automatic Launched In India,"Jan 15, 2020",Reporter,AUTOMOTIVE,Jeep India has launched the diesel-automatic powertrain for the Compass SUV in the Indian market. The new Jeep Compass diesel…
Mercedes-Benz EQ Brand Launched In India: Unveils Upcoming All-Electric EQC SUV As Well,"Jan 15, 2020",Reporter,AUTOMOTIVE,Mercedes-Benz India has launched its electric sub-brand 'EQ' in the Indian market. The new Mercedes-Benz EQ brand is a huge step…
BSNL Revises Three Prepaid Plan; Reduces Validity By Half,"Jan 15, 2020",Reporter,TECHNOLOGY,"After launching an app for internet calling called Wings, state-owned telecom operator Bharat Sanchar Nigam Limited (BSNL) has…"
"Samsung Galaxy A20s Receives Price Cut: Now Available At Rs. 10,999","Jan 15, 2020",Reporter,TECHNOLOGY,"In order to clear its inventory, Samsung has reduced the prices of its existing smartphones. The company has reportedly reduced…"
Health Benefits Of Avocado Seed,"Jan 15, 2020",Reporter,LIFESTYLE,Avocados are one of those fruits that have gained immense popularity due to their incredible nutritional value and diverse…
Ala Vaikunthapuramloo Day 3 Worldwide Box Office Collection Report: Exceeds Expectations,"Jan 15, 2020",Reporter,ENTERTAINMENT,Ala Vaikunthapuramloo has had a fantastic run at the worldwide box office so far and it is only picking up pace as the days go by.…
Sarileru Neekevvaru Fourth Day Box Office: This Mahesh Babu Starrer Is Holding Incredibly Well,"Jan 15, 2020",Reporter,ENTERTAINMENT,Sarileru Neekevvaru is making its way to the 100 crore mark at the box office at great speed. The Mahesh Babu and Rashmika…
Witness unreliable says prime accuse in Muzaffarpur case: Court seeks response,"Jan 15, 2020",Reporter,NATIONAL,"New Delhi, Jan 15: A Delhi court has sought the response of the CBI on a plea filed by Brajesh Thakur, prime accused in a case of…"
"With thrust on technology, Delhi likely to witness higher voter turnout","Jan 15, 2020",Reporter,DELHI,"New Delhi, Jan 15: The Delhi polls will see more thrust on use of technology complemented with massive campaigns in the run-up,…"
Indian Railways set to roll out Content on Demand service,"Jan 15, 2020",Reporter,DELHI,"New Delhi, Jan 15: The Indian Railways would soon offer movies, music videos and shows on demand to travellers at a small cost.…"
Hafiz Saeed pleads not guilty in terror funding case,"Jan 15, 2020",Reporter,WORLD,"Lahore, Jan 15: Mumbai attack mastermind Hafiz Saeed pleaded ""not guilty"" in two terror financing cases against him as the…"
J&K top cop Davinder Singh had ferried terrorists to Jammu last year too: Sources,"Jan 15, 2020",Reporter,NATIONAL,"New Delhi, Jan 15: Police officer Davinder Singh had taken the Hizbul Mujahideen terrorists to Jammu last year too and facilitated…"
"Terror funding: NIA raids at Manipur, Nagaland lead to recovery of Rs 82 lakh","Jan 15, 2020",Reporter,DELHI,"New Delhi, Jan 15: The National Investigation Agency conducted searches in Manipur and Nagaland in connection with a terror…"
"Shaheen Bagh protests: President Kovind, CJI receive letter to abrogate Citizenship Act","Jan 15, 2020",Reporter,NATIONAL,"NEW DELHI: As the Shaheen Bagh agitation, which has become the symbol of anti-Citizenship Amendment Act protests, completes a…"
‘No need for CBI or ED probe in irrigation scam’: Ajit Pawar files affidavit in court,"Jan 15, 2020",Reporter,FEATUREDNATIONAL,NAGPUR: Maharashtra Deputy Chief Minister Ajit Pawar has filed an affidavit in the Nagpur Bench of Bombay High Court in reply to…
Donald Trump to visit India after impeachment trial begins,"Jan 15, 2020",Reporter,FEATUREDWORLD,WASHINGTON: US President Donald Trump is slated to visit India next month for the first time since he joined office and before he…
Former India players give thumbs down to Virat Kohli’s number four move,"Jan 15, 2020",Reporter,SPORTS,"MUMBAI: Former India cricketers VVS Laxman, Sanjay Manjrekar and Harbhajan Singh on Tuesday gave a thumbs down to Virat Kohli's…"
"Raisina Dialogue: World leaders discuss challenges like US-Iran tensions, climate change","Jan 15, 2020",Reporter,DELHI,"NEW DELHI: India's flagship global conference on geopolitics, the Raisina Dialogue, began on Tuesday with seven former heads of…"
All provisions of RTI Act to be enforced in Jammu and Kashmir: Minister Jitendra Singh,"Jan 15, 2020",Reporter,DELHI,NEW DELHI: All provisions of the Right to Information (RTI) Act will be enforced in newly created Union Territory of Jammu and…
West Bengal turned into hub of anti-nationals under TMC regime: Dilip Ghosh,"Jan 15, 2020",Reporter,OTHER STATES,"KOLKATA: West Bengal BJP chief Dilip Ghosh on Tuesday attacked the Trinamool Congress, alleging that the state has turned into a…"
